name,description,price,stock,imageUrl,categoryName,brandName
Rexus Xierra X16,"The Xierra X16 mouse is a cutting-edge peripheral that combines precision and comfort. Its ergonomic design fits snugly in your hand, while its high-precision sensor ensures smooth and accurate",25.99,120.0,https://i.ibb.co/gqMD54M/mouse1.png,Mouse,Rexus 
Logitech G502 Hero,Logitech G502 Hero — Ergonomic mouse designed for precision and comfort for work and gaming,34.99,300.0,https://i.ibb.co/cdwcxN3/mouse2.png,Mouse,Logitech
AOC 24G2E,AOC 24G2E — High refresh rate monitor with vivid colors and sharp detail for everyday use,209.99,245.0,https://i.ibb.co/B2yH9gbM/monitor1.png,Monitor,AOC
ROG Swift PG259QN,ROG Swift PG259QN — High refresh rate monitor with vivid colors and sharp detail for everyday use,299.99,321.0,https://i.ibb.co/W4m2FsVn/monitor2.png,Monitor,ROG
Sony WH-CH510,Sony WH-CH510 — Comfortable headphones delivering clear sound and passive noise reduction,59.99,520.0,https://i.ibb.co/spt6khRX/headphone1.png,Headphone,Sony
JBL Tune 500,JBL Tune 500 — Comfortable headphones delivering clear sound and passive noise reduction,29.95,412.0,https://i.ibb.co/M5nGFrvk/headphone2.png,Headphone,JBL
JBL Tune 720BT,JBL Tune 720BT — Comfortable headphones delivering clear sound and passive noise reduction,65.99,196.0,https://i.ibb.co/yxVGWK9/headphone3.png,Headphone,JBL
Logitech G213 Prodigy,Logitech G213 Prodigy — Durable mechanical keyboard with responsive switches and RGB lighting,49.99,321.0,https://i.ibb.co/bg1h6rhQ/keyboard1.png,Keyboard,Logitech
Razer Huntsman Elite,Razer Huntsman Elite — Durable mechanical keyboard with responsive switches and RGB lighting,106.83,123.0,https://i.ibb.co/GrVT8Tx/keyboard2.png,Keyboard,Razer
Logitech C922,Logitech C922 — Full HD webcam optimized for video calls and casual streaming,49.99,241.0,https://i.ibb.co/ZpfQmzq7/webcam1.png,Webcam,Logitech
Logitech StreamCam,Logitech StreamCam — Full HD webcam optimized for video calls and casual streaming,149.99,21.0,https://i.ibb.co/GvYGG2MR/webcam2.png,Webcam,Logitech
Logitech C270 ,Logitech C270 — Full HD webcam optimized for video calls and casual streaming,29.99,65.0,https://i.ibb.co/FkkdLfKY/webcam3.png,Webcam,Logitech
Rexus Xierra X16 lite,"The Xierra X16 mouse is a cutting-edge peripheral that combines precision and comfort. Its ergonomic design fits snugly in your hand, while its high-precision sensor ensures smooth and accurate",21.99,120.0,https://i.ibb.co/gqMD54M/mouse1.png,Mouse,Rexus 
Logitech G502 Hero lite,Logitech G502 Hero — Ergonomic mouse designed for precision and comfort for work and gaming,31.99,300.0,https://i.ibb.co/cdwcxN3/mouse2.png,Mouse,Logitech
Logitech G502 Hero Pro,Logitech G502 Hero — Ergonomic mouse designed for precision and comfort for work and gaming,48.99,300.0,https://i.ibb.co/cdwcxN3/mouse2.png,Mouse,Logitech
AOC 24G2E lite,AOC 24G2E — High refresh rate monitor with vivid colors and sharp detail for everyday use,169.99,245.0,https://i.ibb.co/B2yH9gbM/monitor1.png,Monitor,AOC
ROG Swift PG259QN lite,ROG Swift PG259QN — High refresh rate monitor with vivid colors and sharp detail for everyday use,249.99,321.0,https://i.ibb.co/W4m2FsVn/monitor2.png,Monitor,ROG
AOC 24G2E Pro,AOC 24G2E — High refresh rate monitor with vivid colors and sharp detail for everyday use,309.99,245.0,https://i.ibb.co/B2yH9gbM/monitor1.png,Monitor,AOC
Sony WH-CH510 Pro,Sony WH-CH510 — Comfortable headphones delivering clear sound and passive noise reduction,79.99,120.0,https://i.ibb.co/spt6khRX/headphone1.png,Headphone,Sony
JBL Tune 720BT Pro,JBL Tune 720BT — Comfortable headphones delivering clear sound and passive noise reduction,95.99,196.0,https://i.ibb.co/yxVGWK9/headphone3.png,Headphone,JBL
Logitech G213 Prodigy Pro,Logitech G213 Prodigy — Durable mechanical keyboard with responsive switches and RGB lighting,89.99,321.0,https://i.ibb.co/bg1h6rhQ/keyboard1.png,Keyboard,Logitech
Razer Huntsman Elite lite,Razer Huntsman Elite — Durable mechanical keyboard with responsive switches and RGB lighting,76.83,123.0,https://i.ibb.co/GrVT8Tx/keyboard2.png,Keyboard,Razer
Logitech G213 Prodigy lite,Logitech G213 Prodigy — Durable mechanical keyboard with responsive switches and RGB lighting,19.99,321.0,https://i.ibb.co/bg1h6rhQ/keyboard1.png,Keyboard,Logitech
Logitech StreamCam lite,Logitech StreamCam — Full HD webcam optimized for video calls and casual streaming,99.99,21.0,https://i.ibb.co/GvYGG2MR/webcam2.png,Webcam,Logitech
Logitech C270 pro,Logitech C270 — Full HD webcam optimized for video calls and casual streaming,44.99,65.0,https://i.ibb.co/FkkdLfKY/webcam3.png,Webcam,Logitech
